"pp" "gender" "hasKids" "userPref" "prediction.before" "prediction.after" "prediction.avg" "role" "userPref01" "prediction.before01" "prediction.after01" "prediction.avg1"
"273" 69 "female" "yes" -4.96 -81.2541633239885 -92.1811282614312 -89.7467064196392 "parent" 0 0 0 0
"274" 69 "female" "yes" -4.47 20.4910846550894 21.3993398576792 19.2781348507101 "child" 0 1 1 1
"275" 69 "female" "yes" 4.82 20.7786061930865 -18.390055881054 14.0531226915998 "parent" 1 1 0 1
"276" 69 "female" "yes" -4.9 -48.9947296985865 -68.3150430261881 -67.5951854346158 "child" 0 0 0 0
"279" 70 "male" "no" 3.89 101.823428575951 79.9194549086111 35.3703362395539 "child" 1 1 1 1
"281" 71 "male" "no" 0.04 132.832744194382 -98.8000631046314 -65.5062236628213 "parent" 1 1 0 0
"283" 71 "male" "no" -0.00999999999999979 216.268188988632 -99.5308291731957 -72.1316393216891 "child" 0 1 0 0
"286" 72 "female" "yes" 1.97 27.1791900694449 -7.51634233801608 -11.5296554758582 "child" 1 1 0 0
"288" 72 "female" "yes" -0.00999999999999979 14.6119366880212 -27.4101144484246 -8.66342699051548 "child" 0 1 0 0
"289" 73 "female" "yes" -1.84 -25.6041501474601 -4.66449732485302 12.6117410055274 "child" 0 0 0 1
"290" 73 "female" "yes" -0.78 -15.0848219794 -7.17864768160254 -5.05804379480101 "child" 0 0 0 0
"291" 73 "female" "yes" 0.8 -12.0862889510403 -19.2359691249059 -19.6156835295407 "parent" 1 0 0 0
"292" 73 "female" "yes" -0.81 24.684224139295 23.7076590499496 32.471551184869 "child" 0 1 1 1
"297" 75 "male" "yes" 3.95 -22.9274229802861 -26.9365873722081 -17.6264231080029 "parent" 1 0 0 0
"298" 75 "male" "yes" 4.28 -4.38266989605186 -3.17918396354253 -4.29804683939456 "child" 1 0 0 0
"301" 76 "male" "yes" -3.96 1.72863486932507 11.5311742908142 16.5397141772162 "child" 0 1 1 1
"302" 76 "male" "yes" 3.75 6.05320995796396 -7.84234903957469 -3.55401042188264 "parent" 1 1 0 0
"303" 76 "male" "yes" 4.47 -3.84840959762197 -28.1069543184145 -21.3613275930598 "child" 1 0 0 0
"304" 76 "male" "yes" 4.71 5.54078731201888 15.1359867435075 22.4111785362618 "parent" 1 1 1 1
"305" 77 "male" "no" -3.51 -132.011741103539 -56.2237733780062 -94.2791940210327 "parent" 0 0 0 0
"307" 77 "male" "no" -3.94 -188.779957960907 -120.751566617599 -166.905269570185 "child" 0 0 0 0
"308" 77 "male" "no" 3.42 139.660199046761 77.6740422198937 110.904155202974 "child" 1 1 1 1
"309" 78 "female" "no" 4.73 4.15344227037371 -11.6686133436032 -16.557696239542 "parent" 1 1 0 0
"311" 78 "female" "no" -3.47 -30.1711304595218 -32.8067166210232 -23.3957493129774 "parent" 0 0 0 0
"312" 78 "female" "no" 3.05 -64.4087943267588 -49.4096889904789 -30.9633017485467 "parent" 1 0 0 0
"314" 79 "female" "yes" -1.88 11.1710123438557 -4.00695392023065 2.1616941274027 "parent" 0 1 0 1
"315" 79 "female" "yes" 2.43 -0.335103645900382 -40.9651389424932 -32.1218777782518 "parent" 1 0 0 0
"316" 79 "female" "yes" 4.06 5.22126038160479 -27.1152952343344 -18.4362001300576 "parent" 1 1 0 0
"318" 80 "male" "no" 2.58 -1.94230972484273 -20.4625342772178 8.40958846723199 "child" 1 0 0 1
"319" 80 "male" "no" 3.33 40.199712112972 25.2886962479948 30.4484842144057 "parent" 1 1 1 1
"320" 80 "male" "no" -3.42 57.5966807919508 -3.4049610970884 29.7095565297417 "child" 0 1 0 1
"324" 81 "female" "yes" 3.37 -31.4217286457642 33.4109404914947 11.9970800124363 "child" 1 0 1 1
"326" 82 "male" "yes" 2.76 -39.4714933482859 -35.4288729218715 -20.590305417779 "child" 1 0 0 0
"328" 82 "male" "yes" -3.53 -43.4717319302368 -60.936203699114 -76.6875316759708 "child" 0 0 0 0
"331" 83 "male" "no" 0.0300000000000002 -25.3148816891891 -26.8583827780616 -17.0446686829677 "parent" 1 0 0 0
"332" 83 "male" "no" -0.00999999999999979 -17.9902425540374 -8.21165020990135 -2.40055211459004 "parent" 0 0 0 0
"333" 84 "female" "no" -3.9 -44.8459478562141 -45.3490800653396 -37.3201490611845 "child" 0 0 0 0
"334" 84 "female" "no" 2.96 6.63768442526591 48.1846330980292 31.7196730135234 "child" 1 1 1 1
"335" 84 "female" "no" 2.78 -3.70580692466338 -4.4750647594135 -5.63135842966996 "parent" 1 0 0 0
"336" 84 "female" "no" 2.85 4.69240962770615 1.09359492344642 4.60409020469965 "parent" 1 1 1 1
"337" 85 "female" "no" 1.99 43.4282124726336 44.6567153750103 36.8344247142448 "child" 1 1 1 1
"338" 85 "female" "no" 1.47 58.9813887388885 63.163115892889 55.784385798941 "parent" 1 1 1 1
"339" 85 "female" "no" 3.95 15.2053128274328 36.0788912124965 6.58528222734741 "child" 1 1 1 1
"341" 86 "female" "no" 3.38 -4.6716526328076 -38.4198408743964 -25.5572423245078 "child" 1 0 0 0
"342" 86 "female" "no" 4.21 9.91753168330761 19.2114938057853 17.9165515855097 "parent" 1 1 1 1
"343" 86 "female" "no" 4.76 -4.01732709877315 10.2936148423056 5.80828674055499 "child" 1 0 1 1
"345" 87 "male" "no" 5 76.4206190067376 55.0585958022259 45.3009826429077 "child" 1 1 1 1
"346" 87 "male" "no" -5 135.805347500527 56.4870698576529 74.6921643959015 "child" 0 1 1 1
"347" 87 "male" "no" 4.94 43.52659270536 41.146817320198 43.5467735883788 "parent" 1 1 1 1
"348" 87 "male" "no" 4.9 172.039065914265 47.5400376598797 69.148681594262 "parent" 1 1 1 1
"350" 88 "female" "no" -3.47 -107.684182350956 -129.504419365041 -123.255038242906 "child" 0 0 0 0
"351" 88 "female" "no" -1.97 -157.8306570749 -165.22582100159 -169.868409540727 "parent" 0 0 0 0
"352" 88 "female" "no" -4.01 -127.906261430133 -137.575657342447 -113.893718864304 "parent" 0 0 0 0
"353" 89 "female" "yes" 5 -19.9766942540678 -40.0351539766042 -47.9013526249201 "parent" 1 0 0 0
"354" 89 "female" "yes" 4.92 97.3921979766349 11.9756626969879 37.1509855868456 "parent" 1 1 1 1
"355" 89 "female" "yes" 5 -82.8958433736942 -8.24271904651023 -35.26803834572 "parent" 1 0 0 0
"356" 89 "female" "yes" 4.89 65.5084838970264 -3.69353438438043 48.5805670763467 "child" 1 1 0 1
"357" 90 "male" "no" 2.62 16.6985473055308 -14.4744603376008 31.9901889974113 "parent" 1 1 0 1
"358" 90 "male" "no" 3.27 19.7316326395857 8.93668000133064 43.3035014434699 "child" 1 1 1 1
"360" 90 "male" "no" 1.54 -24.0177275233918 -10.8715985097406 -17.7638598614977 "parent" 1 0 0 0
"363" 91 "female" "no" 4.96 4.04084951696624 -12.6460696640576 8.86284795829878 "parent" 1 1 0 1
"364" 91 "female" "no" 4.82 -4.20578221876254 -8.93308547627477 2.75712169145056 "child" 1 0 0 1
"365" 92 "male" "yes" 4.15 30.2305952504305 42.0586453720493 22.0185215575714 "parent" 1 1 1 1
"368" 92 "male" "yes" 4.59 -2.35003858719757 25.5462502969676 6.52035832352966 "child" 1 0 1 1
"369" 93 "male" "no" 3.49 -30.6208948126316 -38.0501052847475 -23.8250377153536 "parent" 1 0 0 0
"370" 93 "male" "no" 5 16.0455535903564 9.34641406748035 51.4200515965578 "child" 1 1 1 1
"371" 93 "male" "no" 5 0.81173998620973 10.1490795195276 33.6793896546903 "parent" 1 1 1 1
"372" 93 "male" "no" 4.59 44.9227417041621 -32.1443365029708 -10.2139271057723 "parent" 1 1 0 0
"374" 94 "male" "yes" -2.5 -12.9615400671667 -6.7615770997506 -16.2111151209435 "parent" 0 0 0 0
"375" 94 "male" "yes" 1.49 14.8332815614116 20.3868472031657 11.9225881579952 "parent" 1 1 1 1
"379" 95 "female" "yes" -4.9 -16.1403895775976 -21.7525030573568 -18.3721047049414 "parent" 0 0 0 0
"381" 96 "female" "yes" 3.81 79.1051979369679 126.404686459441 94.2503202586322 "parent" 1 1 1 1
"383" 96 "female" "yes" -3.48 -49.333051871692 24.1566670399229 -1.25548538779574 "child" 0 0 1 0
"384" 96 "female" "yes" 3.13 -56.5079241136793 -66.2335072824715 -62.2357769384509 "child" 1 0 0 0
"385" 97 "male" "no" 0.0800000000000001 -7.23780914949379 -14.0788655293195 -14.3148202126265 "parent" 1 0 0 0
